,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,electron_init
0,0,5.856921,0.7,4.099844699999999,1,0,0,1,1000.0
1,1,5.856969,0.4,2.3427876000000003,1,0,1,1,1025.0
2,2,5.857018999999999,0.8,4.6856152,1,0,1,1,1050.0
3,3,5.8570720000000005,0.9,5.271364800000001,1,1,0,0,1075.0
4,4,5.857119,0.4,2.3428476000000003,0,1,0,1,1100.0
5,5,5.857166,0.6,3.5142996,0,1,0,1,1125.0
6,6,5.857221,0.4,2.3428884,0,0,1,0,1150.0
7,7,5.85727,0.6,3.5143619999999998,1,0,0,1,1175.0
8,8,5.857321000000001,0.7,4.1001247,0,0,1,0,1200.0
9,9,5.857371,0.7,4.1001597,0,0,1,1,1225.0
10,10,5.857421,0.4,2.3429684,0,1,1,1,1250.0
11,11,5.85747,0.6,3.514482,1,0,1,1,1275.0
12,12,5.857518000000001,0.9,5.271766200000001,1,0,0,0,1300.0
13,13,5.857571999999999,0.6,3.5145431999999994,0,0,0,0,1325.0
14,14,5.85762,0.6,3.514572,1,1,0,1,1350.0
15,15,5.857670000000001,0.4,2.343068,0,1,0,1,1375.0
16,16,5.857721,0.7,4.1004046999999995,1,1,1,0,1400.0
17,17,5.857773,0.9,5.2719957,1,0,0,0,1425.0
18,18,5.8578209999999995,0.8,4.6862568,1,0,1,1,1450.0
19,19,5.85787,0.5,2.928935,1,0,1,1,1475.0
20,20,5.857922,0.8,4.686337600000001,1,0,1,0,1500.0
21,21,5.857965,0.8,4.686372,1,0,1,0,1525.0
22,22,5.858021,0.6,3.5148126,0,1,0,1,1550.0
23,23,5.85807,0.5,2.929035,0,1,0,0,1575.0
24,24,5.858122,0.4,2.3432488,1,0,1,1,1600.0
25,25,5.858172,0.5,2.929086,1,0,0,0,1625.0
26,26,5.858217,0.7,4.1007519,0,1,0,0,1650.0
27,27,5.858268000000001,0.6,3.5149608000000003,0,0,0,1,1675.0
28,28,5.858317,0.6,3.5149902,0,0,1,1,1700.0
29,29,5.858366999999999,0.6,3.5150201999999995,0,0,0,1,1725.0
30,30,5.858419,0.8,4.6867352,1,1,1,1,1750.0
31,31,5.858471,0.5,2.9292355,1,0,1,0,1775.0
32,32,5.85852,0.6,3.5151120000000002,1,0,1,0,1800.0
33,33,5.85857,0.5,2.929285,1,0,0,1,1825.0
34,34,5.858618,0.5,2.929309,1,0,1,1,1850.0
35,35,5.858667,0.8,4.6869336,0,0,0,1,1875.0
36,36,5.858717,0.3,1.7576151,0,0,0,0,1900.0
37,37,5.858771,0.4,2.3435084,0,0,0,1,1925.0
38,38,5.858823,0.8,4.687058400000001,1,1,0,0,1950.0
39,39,5.858871,0.7,4.101209699999999,1,0,0,1,1975.0
40,40,5.8589210000000005,0.5,2.9294605000000002,0,1,1,1,2000.0
41,41,5.858969,0.7,4.1012783,1,0,0,0,2025.0
42,42,5.859016,0.9,5.2731144,0,1,1,1,2050.0
43,43,5.859071999999999,0.5,2.9295359999999997,1,1,1,1,2075.0
44,44,5.859119,0.8,4.6872952,0,0,0,1,2100.0
45,45,5.859169,0.6,3.5155013999999998,1,1,0,1,2125.0
46,46,5.85922,0.7,4.1014539999999995,0,1,1,0,2150.0
47,47,5.85927,0.5,2.929635,1,0,1,1,2175.0
48,48,5.859322000000001,0.6,3.5155932,1,0,0,0,2200.0
49,49,5.859372,0.9,5.2734347999999995,0,0,1,0,2225.0
50,50,5.859422,0.8,4.687537600000001,1,0,0,0,2250.0
51,51,5.85947,0.6,3.515682,1,1,1,0,2275.0
52,52,5.859525,0.7,4.1016675,1,0,1,1,2300.0
53,53,5.859569,0.6,3.5157413999999996,1,0,1,0,2325.0
54,54,5.859622,0.9,5.2736598,1,0,1,1,2350.0
55,55,5.859668,0.6,3.5158008,1,0,0,1,2375.0
56,56,5.859719,0.7,4.1018033,1,0,1,1,2400.0
57,57,5.85977,0.8,4.687816000000001,1,0,0,0,2425.0
58,58,5.859821,0.8,4.6878568000000005,1,0,1,0,2450.0
59,59,5.859872,0.6,3.5159232,1,0,0,1,2475.0
60,60,5.859922,0.7,4.1019454,1,1,1,0,2500.0
61,61,5.859972,0.8,4.6879776,0,1,1,0,2525.0
62,62,5.8600200000000005,0.7,4.1020140000000005,0,1,1,1,2550.0
63,63,5.860071,0.7,4.102049699999999,1,0,0,0,2575.0
64,64,5.86012,0.3,1.758036,1,1,0,1,2600.0
65,65,5.86017,0.7,4.102119,0,0,0,1,2625.0
66,66,5.860219,0.5,2.9301095,0,0,1,0,2650.0
67,67,5.860269000000001,0.5,2.9301345000000003,0,0,0,0,2675.0
68,68,5.86032,0.8,4.688256,0,0,1,0,2700.0
69,69,5.860366,1.0,5.860366,0,0,1,1,2725.0
70,70,5.8604199999999995,0.6,3.5162519999999997,1,0,1,1,2750.0
71,71,5.860474,0.3,1.7581422,1,1,1,1,2775.0
72,72,5.8605220000000005,0.6,3.5163132000000004,1,0,1,0,2800.0
73,73,5.860571,0.8,4.6884568,1,0,1,0,2825.0
74,74,5.860619,0.5,2.9303095,1,1,0,1,2850.0
75,75,5.860672,0.9,5.2746048000000005,1,0,0,1,2875.0
76,76,5.860716,0.6,3.5164296,0,0,0,0,2900.0
77,77,5.860767,0.7,4.1025369,1,0,1,0,2925.0
78,78,5.860819,0.3,1.7582457,0,0,0,0,2950.0
79,79,5.860873,0.5,2.9304365,1,0,1,1,2975.0
80,80,5.860920999999999,0.6,3.5165525999999994,0,1,1,1,3000.0
81,81,5.860971,0.5,2.9304855,0,1,1,0,3025.0
82,82,5.861021,0.7,4.1027147,1,1,0,0,3050.0
83,83,5.861068,0.7,4.1027476,1,1,1,1,3075.0
84,84,5.861122,0.4,2.3444488,1,0,1,0,3100.0
85,85,5.861171000000001,0.5,2.9305855000000003,1,0,1,0,3125.0
86,86,5.861218,0.6,3.5167308,0,0,1,0,3150.0
87,87,5.861273,0.7,4.1028911,0,0,1,1,3175.0
88,88,5.861321,0.8,4.6890568,1,1,1,1,3200.0
89,89,5.861371,0.5,2.9306855,1,1,0,0,3225.0
90,90,5.86142,0.6,3.5168519999999996,0,1,0,1,3250.0
91,91,5.861471,0.8,4.6891768,0,0,0,0,3275.0
92,92,5.8615200000000005,0.4,2.3446080000000005,0,1,0,0,3300.0
93,93,5.861571,0.8,4.6892568,1,1,0,0,3325.0
94,94,5.861618,0.6,3.5169707999999997,0,0,0,1,3350.0
95,95,5.861670999999999,0.7,4.1031697,1,1,1,0,3375.0
96,96,5.861721,0.9,5.2755489,0,0,1,0,3400.0
97,97,5.86177,0.6,3.5170619999999997,0,0,0,1,3425.0
98,98,5.861818,0.6,3.5170908,1,1,0,1,3450.0
99,99,5.861871,0.7,4.1033097,0,1,0,1,3475.0
100,100,5.86192,0.7,4.103344,0,0,1,1,3500.0
101,101,5.861967,0.6,3.5171802,0,1,1,0,3525.0
102,102,5.862021,0.8,4.6896168000000005,1,0,0,1,3550.0
103,103,5.862071,0.6,3.5172426,1,0,0,1,3575.0
104,104,5.8621229999999995,0.7,4.1034861,0,1,1,0,3600.0
105,105,5.862172,0.7,4.1035204,1,0,0,0,3625.0
106,106,5.8622190000000005,0.7,4.1035533,0,0,0,1,3650.0
107,107,5.862268,0.9,5.276041200000001,1,0,1,0,3675.0
108,108,5.8623199999999995,0.7,4.103623999999999,0,0,0,1,3700.0
109,109,5.862369,0.8,4.6898952000000005,0,0,0,1,3725.0
110,110,5.862418,0.4,2.3449672,1,0,0,1,3750.0
111,111,5.862472,0.7,4.1037304,1,0,1,0,3775.0
112,112,5.8625169999999995,0.8,4.6900135999999994,0,1,1,0,3800.0
113,113,5.862571,0.6,3.5175426,0,1,0,1,3825.0
114,114,5.862621,0.6,3.5175726,1,0,1,1,3850.0
115,115,5.862673,0.5,2.9313365,1,1,1,1,3875.0
116,116,5.862722,0.8,4.6901776,1,1,0,0,3900.0
117,117,5.862769,0.8,4.6902152,0,0,1,1,3925.0
118,118,5.862818,0.8,4.6902544,1,0,1,1,3950.0
119,119,5.862868000000001,0.9,5.276581200000001,0,0,1,1,3975.0
120,120,5.862921,0.8,4.6903368,1,0,1,0,4000.0
121,121,5.862969,0.8,4.6903752,1,0,0,0,4025.0
122,122,5.863023,0.6,3.5178138,0,0,1,1,4050.0
123,123,5.863071,0.5,2.9315355,0,1,1,1,4075.0
124,124,5.86312,0.8,4.690496,1,1,1,0,4100.0
125,125,5.86317,0.5,2.931585,0,0,1,1,4125.0
126,126,5.86322,0.8,4.690576,0,0,0,1,4150.0
127,127,5.86327,0.8,4.690616,0,0,0,1,4175.0
128,128,5.86332,0.7,4.104324,0,1,1,0,4200.0
129,129,5.8633690000000005,0.5,2.9316845000000002,1,1,0,0,4225.0
130,130,5.863421000000001,0.4,2.3453684000000004,0,0,0,1,4250.0
131,131,5.863471,0.5,2.9317355,0,0,1,1,4275.0
132,132,5.863521,0.8,4.6908168,1,0,1,0,4300.0
133,133,5.86357,0.6,3.518142,1,0,1,0,4325.0
134,134,5.8636159999999995,0.9,5.2772543999999995,1,0,1,0,4350.0
135,135,5.863667,0.4,2.3454668,0,1,1,1,4375.0
136,136,5.86372,0.6,3.518232,0,0,1,0,4400.0
137,137,5.863769,0.7,4.1046382999999995,1,0,1,1,4425.0
138,138,5.86382,0.8,4.691056,1,0,0,1,4450.0
139,139,5.863874,0.8,4.6910992,0,0,1,0,4475.0
140,140,5.8639209999999995,0.4,2.3455684,1,1,1,1,4500.0
141,141,5.863969,0.5,2.9319845,1,0,1,1,4525.0
142,142,5.864021,0.4,2.3456084,0,0,0,1,4550.0
143,143,5.864069,0.6,3.5184414,1,1,0,1,4575.0
144,144,5.864123,0.3,1.7592369,1,0,1,0,4600.0
145,145,5.8641689999999995,0.7,4.1049183,0,1,1,0,4625.0
146,146,5.864221,0.8,4.6913768,0,0,1,0,4650.0
147,147,5.864269,0.5,2.9321345,0,1,0,1,4675.0
148,148,5.864322,0.6,3.5185931999999998,0,0,1,1,4700.0
149,149,5.864369,0.7,4.1050583,1,0,0,1,4725.0
150,150,5.864423,0.2,1.1728846000000002,1,1,1,0,4750.0
151,151,5.864471,0.4,2.3457884,0,0,0,0,4775.0
152,152,5.864518,0.7,4.1051626,0,0,0,1,4800.0
153,153,5.864572,0.7,4.105200399999999,0,0,0,0,4825.0
154,154,5.86462,0.8,4.691696,0,1,1,0,4850.0
155,155,5.86467,0.5,2.932335,0,0,1,1,4875.0
156,156,5.864719,0.7,4.1053033,0,1,1,1,4900.0
157,157,5.864770999999999,0.6,3.5188625999999994,1,1,1,0,4925.0
158,158,5.86482,0.4,2.3459280000000002,0,0,0,0,4950.0
159,159,5.864871,0.9,5.2783839,1,0,1,1,4975.0
